"asc_bus","asc_micro","b_tt","b_cost","b_lmt","b_hw","b_var","b_crowd","b_aircon","b_vendors","sigma_panel","logLike"
0,0,0,0,0,0,0,0,0,0,0.5,-3474.83622355152
0.0396725049389261,-0.0267495674269257,-0.00262827085591895,-9.720529509965e-05,-0.00642334523238221,-0.00291099237611625,-0.00266202273407518,-0.0721794525325575,0.0457059987055108,-0.0483088389282721,0.60663594215294,-3251.32901628799
0.0157972467554747,0.00312095261165903,-0.00613469346941819,-0.000174712939810355,-0.0114605917043316,-0.0047899247732237,-0.00611853217000517,-0.135692313370769,0.101803367962106,-0.0680317636598299,0.744026507582776,-3067.74643658405
-0.185358390184966,-0.100021821473639,-0.00992395924890725,-0.000267902933024175,-0.0144410305912176,-0.006083402832931,-0.0121066694720434,-0.184358675065844,0.147632019031071,-0.0740050668663206,1.04376816936695,-2846.78863654121
-0.587903835192701,-0.504822049383456,-0.0113875342469889,-0.000314343609770493,-0.0158829480775146,-0.0057529027118795,-0.0131196191032078,-0.180998544344544,0.157115940094563,-0.089461201005267,1.38796727391206,-2736.44602822616
-1.01663509341533,-1.10683377819298,-0.0115515027686859,-0.000315882886860924,-0.0155851050029898,-0.00567200319753773,-0.0120434146296927,-0.15781544289937,0.163593056577387,-0.069860120799488,1.70025021149826,-2698.8984440817
-1.30310342040921,-1.48924409569046,-0.0115317615145344,-0.000293883159556685,-0.0149899306349384,-0.00551016064849844,-0.0112037527580572,-0.156525467381572,0.163730532155493,-0.0641512241061222,1.87567973611672,-2692.77502379259
-1.38489003811202,-1.57891004669956,-0.0113931567501083,-0.000279250540451476,-0.0142946541034915,-0.00561074709050355,-0.0111158677882044,-0.162726713991954,0.16453885246028,-0.0670277885439454,1.90682967474519,-2692.3699080991
-1.3880560318326,-1.58163188801171,-0.0113140666915326,-0.000275534935147479,-0.0140911340235393,-0.00560272832224703,-0.0111510888623452,-0.165315459947572,0.16492199312992,-0.0696128781571601,1.90438528688939,-2692.34591198623
-1.38525533225168,-1.57863097368586,-0.011297889769176,-0.000275052448348624,-0.0140791925948274,-0.00560996864590167,-0.0111622536617529,-0.165770408449811,0.165021969699071,-0.0703688370538898,1.9031160418638,-2692.34490745627
-1.38488505087803,-1.57799805532555,-0.0112966241024958,-0.000275054330460982,-0.0140824530172877,-0.00560781806593616,-0.0111634885589397,-0.165775537626277,0.164996897687816,-0.0704428747900839,1.90302612617343,-2692.34489912502
-1.38487503115746,-1.57797859121778,-0.0112963113578365,-0.000275052012967629,-0.0140829409401009,-0.0056084917367124,-0.0111632075699985,-0.16576942842707,0.164998172802574,-0.0704411453268865,1.90302782231948,-2692.34489898821
